instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Spring,Clear,709,888,981,1,1,1,111
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Spring,Clear,708,836,986,1,1,1,111
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Spring,Clear,707,1330,1416,1,1,1,111
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Spring,Mist + Cloudy,706,1799,1985,1,1,1,111
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Spring,Light Snow/Rain,705,472,506,1,1,1,111
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,Spring,Clear,704,416,431,1,1,1,111
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Spring,Mist + Cloudy,703,1129,1167,1,1,1,111
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Spring,Clear,702,975,1098,1,1,1,111
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Spring,Clear,701,956,1096,1,1,1,111
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Spring,Mist + Cloudy,700,1459,1501,1,1,1,111
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Spring,Mist + Cloudy,699,1313,1360,1,1,1,111
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,Spring,Mist + Cloudy,698,1454,1526,1,1,1,111
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Spring,Clear,697,1489,1550,1,1,1,111
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Spring,Mist + Cloudy,696,1620,1708,1,1,1,111
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,Spring,Mist + Cloudy,695,905,1005,1,1,1,111
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Spring,Clear,694,1269,1623,1,1,1,111
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Spring,Clear,693,1592,1712,1,1,1,111
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Spring,Clear,692,1466,1530,1,1,1,111
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Spring,Mist + Cloudy,691,1552,1605,1,1,1,111
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Spring,Clear,690,1491,1538,1,1,1,111
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Spring,Clear,689,1597,1746,1,1,1,111
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Spring,Clear,688,1184,1472,1,1,1,111
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Spring,Clear,687,1192,1589,1,1,1,111
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,Spring,Clear,686,1705,1913,1,1,1,111
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Spring,Clear,685,1675,1815,1,1,1,111
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Spring,Clear,684,1897,2115,1,1,1,111
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Spring,Clear,683,2216,2475,1,1,1,111
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Spring,Clear,682,2348,2927,1,1,1,111
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Spring,Clear,681,1103,1635,1,1,1,111
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Spring,Clear,680,1173,1812,1,1,1,111
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Spring,Mist + Cloudy,679,912,1107,1,1,1,111
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Spring,Clear,678,1376,1450,1,1,1,111
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Spring,Clear,677,1778,1917,1,1,1,111
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Spring,Mist + Cloudy,676,1707,1807,1,1,1,111
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Spring,Mist + Cloudy,675,1341,1461,1,1,1,111
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Spring,Clear,674,1545,1969,1,1,1,111
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Spring,Clear,673,1708,2402,1,1,1,111
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Spring,Mist + Cloudy,672,1365,1446,1,1,1,111
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Spring,Clear,671,1714,1851,1,1,1,111
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Spring,Clear,670,1903,2134,1,1,1,111
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Spring,Clear,669,1562,1685,1,1,1,111
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Spring,Mist + Cloudy,668,1730,1944,1,1,1,111
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Spring,Mist + Cloudy,667,1437,2077,1,1,1,111
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Spring,Mist + Cloudy,666,491,605,1,1,1,111
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Spring,Clear,665,1628,1872,1,1,1,111
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Spring,Clear,664,1817,2133,1,1,1,111
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Spring,Mist + Cloudy,663,1700,1891,1,1,1,111
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,Spring,Light Snow/Rain,662,577,623,1,1,1,111
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Spring,Mist + Cloudy,661,1730,1977,1,1,1,111
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Spring,Clear,660,1408,2132,1,1,1,111
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Spring,Clear,659,1435,2417,1,1,1,111
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Spring,Clear,658,1687,2046,1,1,1,111
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Spring,Mist + Cloudy,657,1767,2056,1,1,1,111
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Spring,Mist + Cloudy,656,1871,2192,1,1,1,111
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Spring,Clear,655,2320,2744,1,1,1,111
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Spring,Clear,654,2355,3239,1,1,2,112
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Spring,Clear,653,1693,3117,1,1,1,111
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Spring,Clear,652,1424,2471,1,1,1,111
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Summer,Mist + Cloudy,651,1676,2077,1,1,1,111
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Summer,Clear,650,2243,2703,1,1,1,111
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Summer,Mist + Cloudy,649,1918,2121,1,1,1,111
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Summer,Mist + Cloudy,648,1699,1865,1,1,1,111
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Summer,Clear,647,1910,2210,1,1,1,111
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Summer,Clear,646,1515,2496,1,1,1,111
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Summer,Mist + Cloudy,645,1221,1693,1,1,1,111
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Summer,Clear,644,1806,2028,1,1,1,111
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Summer,Clear,643,2108,2425,1,1,1,111
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Summer,Mist + Cloudy,642,1368,1536,1,1,1,111
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Summer,Light Snow/Rain,641,1506,1685,1,1,1,111
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Summer,Mist + Cloudy,640,1920,2227,1,1,1,111
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Summer,Mist + Cloudy,639,1354,2252,1,1,1,111
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Summer,Clear,638,1598,3249,1,1,2,112
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Summer,Clear,637,2381,3115,1,1,1,111
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Summer,Mist + Cloudy,636,1628,1795,1,1,1,111
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Summer,Clear,635,2395,2808,1,1,1,111
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Summer,Clear,634,2570,3141,1,2,1,121
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Summer,Mist + Cloudy,633,1299,1471,1,1,1,111
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Summer,Mist + Cloudy,632,1576,2455,1,1,1,111
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Summer,Mist + Cloudy,631,1707,2895,1,1,1,111
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Summer,Mist + Cloudy,630,2493,3348,1,1,2,112
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Summer,Mist + Cloudy,629,1777,2034,1,1,1,111
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Summer,Mist + Cloudy,628,1953,2162,1,1,1,111
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Summer,Clear,627,2738,3267,1,2,2,122
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Summer,Clear,626,2484,3126,1,1,1,111
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Summer,Light Snow/Rain,625,674,795,1,1,1,111
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Summer,Clear,624,2186,3744,1,1,2,112
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Summer,Clear,623,2760,3429,1,2,2,122
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Summer,Mist + Cloudy,622,2795,3204,1,2,2,122
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Summer,Clear,621,3331,3944,1,2,2,122
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Summer,Clear,620,3444,4189,1,2,2,122
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Summer,Mist + Cloudy,619,1506,1683,1,1,1,111
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Summer,Mist + Cloudy,618,2574,4036,1,2,2,122
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Summer,Mist + Cloudy,617,2481,4191,1,1,2,112
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Summer,Clear,616,3300,4073,1,2,2,122
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Summer,Clear,615,3722,4400,1,3,2,132
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Summer,Mist + Cloudy,614,3325,3872,1,2,2,122
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Summer,Mist + Cloudy,613,3489,4058,1,2,2,122
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Summer,Clear,612,3717,4595,1,3,3,133
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Summer,Clear,611,3347,5312,1,2,3,123
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Summer,Mist + Cloudy,610,2213,3351,1,1,2,112
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Summer,Mist + Cloudy,609,3554,4401,1,2,2,122
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Summer,Mist + Cloudy,608,3848,4451,1,3,2,132
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Summer,Mist + Cloudy,607,2378,2633,1,1,1,111
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Summer,Clear,606,3819,4433,1,3,2,132
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Summer,Clear,605,3714,4608,1,3,3,133
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Summer,Clear,604,3102,4714,1,2,3,123
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Summer,Clear,603,2932,4333,1,2,2,122
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Summer,Clear,602,3698,4362,1,3,2,132
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Summer,Clear,601,4109,4803,1,3,3,133
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Summer,Clear,600,3632,4182,1,2,2,122
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,Summer,Clear,599,4169,4864,1,3,3,133
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Summer,Mist + Cloudy,598,3413,4105,1,2,2,122
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Summer,Mist + Cloudy,597,2507,3409,1,2,2,122
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Summer,Mist + Cloudy,596,2971,4553,1,2,3,123
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Summer,Clear,595,3185,3958,1,2,2,122
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Summer,Mist + Cloudy,594,3445,4123,1,2,2,122
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,Summer,Mist + Cloudy,593,3319,3855,1,2,2,122
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Summer,Mist + Cloudy,592,3840,4575,1,3,3,133
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Summer,Clear,591,4008,4917,1,3,3,133
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Summer,Clear,590,3547,5805,1,2,3,123
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Summer,Clear,589,3084,4660,1,2,3,123
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,Summer,Mist + Cloudy,588,3438,4274,1,2,2,122
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,Summer,Mist + Cloudy,587,3833,4492,1,3,2,132
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Summer,Clear,586,4238,4978,1,3,3,133
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Summer,Clear,585,3919,4677,1,3,3,133
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Summer,Clear,584,3808,4679,1,3,3,133
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Summer,Clear,583,2757,4758,1,2,3,123
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Summer,Clear,582,2433,4788,1,1,3,113
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Summer,Clear,581,2549,4098,1,2,2,122
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Summer,Clear,580,3309,3982,1,2,2,122
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Summer,Mist + Cloudy,579,3461,3974,1,2,2,122
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,Summer,Clear,578,4232,4968,1,3,3,133
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,Summer,Clear,577,4414,5312,1,3,3,133
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,Summer,Clear,576,3473,5342,1,2,3,123
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,Summer,Mist + Cloudy,575,3221,4906,1,2,3,123
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,Summer,Clear,574,3875,4548,1,3,2,132
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,Summer,Clear,573,4070,4833,1,3,3,133
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,Summer,Clear,572,3725,4401,1,3,2,132
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,Summer,Mist + Cloudy,571,3352,3915,1,2,2,122
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,Summer,Clear,570,3771,4586,1,3,3,133
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,Summer,Clear,569,3237,4966,1,2,3,123
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,Summer,Clear,568,2993,4460,1,2,2,122
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,Summer,Clear,567,4157,5020,1,3,3,133
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,Summer,Clear,566,4164,4891,1,3,3,133
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,Summer,Clear,565,4411,5180,1,3,3,133
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,Summer,Mist + Cloudy,564,3222,3767,1,2,2,122
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,Summer,Clear,563,3981,4844,1,3,3,133
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,Summer,Clear,562,3312,5119,1,2,3,123
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,Summer,Mist + Cloudy,561,3105,4744,1,2,3,123
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,Summer,Mist + Cloudy,560,3311,4010,1,2,2,122
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,Fall,Mist + Cloudy,559,4061,4835,1,3,3,133
173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,Fall,Clear,558,3846,4507,1,3,2,132
174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,Fall,Mist + Cloudy,557,4044,4790,1,3,3,133
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Fall,Clear,556,4022,4991,1,3,3,133
176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Fall,Clear,555,3420,5202,1,2,3,123
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Fall,Clear,554,3385,5305,1,2,3,123
178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Fall,Mist + Cloudy,553,3854,4708,1,3,3,133
179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Fall,Clear,552,3916,4648,1,3,3,133
